时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-09-24 09:35:00,11.51,11.53,11.56,11.5,0.09,0.01,69980,80708136.0,0.52,0.04
2025-09-24 09:40:00,11.54,11.5,11.56,11.5,-0.26,-0.03,50477,58213851.0,0.52,0.03
2025-09-24 09:45:00,11.5,11.55,11.55,11.49,0.43,0.05,38749,44639444.0,0.52,0.02
2025-09-24 09:50:00,11.55,11.61,11.61,11.53,0.52,0.06,92142,106740221.0,0.69,0.05
2025-09-24 09:55:00,11.61,11.62,11.62,11.58,0.09,0.01,43868,50924812.0,0.34,0.02
2025-09-24 10:00:00,11.61,11.6,11.62,11.59,-0.17,-0.02,21866,25379770.0,0.26,0.01
2025-09-24 10:05:00,11.6,11.59,11.6,11.58,-0.09,-0.01,14005,16237788.0,0.17,0.01
2025-09-24 10:10:00,11.59,11.58,11.61,11.58,-0.09,-0.01,13562,15721803.0,0.26,0.01
2025-09-24 10:15:00,11.58,11.56,11.58,11.55,-0.17,-0.02,17647,20416237.0,0.26,0.01
2025-09-24 10:20:00,11.56,11.53,11.58,11.53,-0.26,-0.03,23861,27573523.0,0.43,0.01
2025-09-24 10:25:00,11.53,11.51,11.53,11.5,-0.17,-0.02,33809,38931135.0,0.26,0.02
2025-09-24 10:30:00,11.51,11.49,11.51,11.46,-0.17,-0.02,67977,78061409.0,0.43,0.04
2025-09-24 10:35:00,11.48,11.48,11.49,11.47,-0.09,-0.01,30195,34662296.0,0.17,0.02
2025-09-24 10:40:00,11.49,11.48,11.49,11.47,0.0,0.0,16910,19411672.0,0.17,0.01
2025-09-24 10:45:00,11.48,11.46,11.49,11.46,-0.17,-0.02,18225,20909328.0,0.26,0.01
2025-09-24 10:50:00,11.46,11.46,11.47,11.45,0.0,0.0,27096,31042285.0,0.17,0.01
2025-09-24 10:55:00,11.46,11.47,11.48,11.46,0.09,0.01,10691,12258450.0,0.17,0.01
2025-09-24 11:00:00,11.46,11.47,11.47,11.46,0.0,0.0,12410,14227445.0,0.09,0.01
2025-09-24 11:05:00,11.47,11.47,11.48,11.46,0.0,0.0,14602,16737251.0,0.17,0.01
2025-09-24 11:10:00,11.47,11.46,11.47,11.45,-0.09,-0.01,17618,20181858.0,0.17,0.01
2025-09-24 11:15:00,11.45,11.46,11.47,11.45,0.0,0.0,20495,23487955.0,0.17,0.01
2025-09-24 11:20:00,11.45,11.46,11.46,11.44,0.0,0.0,20392,23346654.0,0.17,0.01
2025-09-24 11:25:00,11.45,11.45,11.46,11.44,-0.09,-0.01,7841,8976554.0,0.17,0.0
2025-09-24 11:30:00,11.44,11.45,11.46,11.44,0.0,0.0,13456,15406688.0,0.17,0.01
2025-09-24 13:05:00,11.45,11.46,11.46,11.44,0.09,0.01,25598,29311717.0,0.17,0.01
2025-09-24 13:10:00,11.46,11.46,11.47,11.45,0.0,0.0,12775,14637539.0,0.17,0.01
2025-09-24 13:15:00,11.47,11.46,11.47,11.45,0.0,0.0,12798,14662832.0,0.17,0.01
2025-09-24 13:20:00,11.46,11.46,11.47,11.45,0.0,0.0,8887,10186394.0,0.17,0.0
2025-09-24 13:25:00,11.46,11.46,11.47,11.45,0.0,0.0,10427,11947585.0,0.17,0.01
2025-09-24 13:30:00,11.46,11.46,11.47,11.45,0.0,0.0,7224,8275363.0,0.17,0.0
2025-09-24 13:35:00,11.45,11.46,11.47,11.45,0.0,0.0,15302,17536079.0,0.17,0.01
2025-09-24 13:40:00,11.46,11.47,11.47,11.46,0.09,0.01,7210,8265789.0,0.09,0.0
2025-09-24 13:45:00,11.47,11.46,11.47,11.46,-0.09,-0.01,4716,5405785.0,0.09,0.0
2025-09-24 13:50:00,11.47,11.47,11.47,11.46,0.09,0.01,11792,13520085.0,0.09,0.01
2025-09-24 13:55:00,11.47,11.47,11.47,11.46,0.0,0.0,8936,10244983.0,0.09,0.0
2025-09-24 14:00:00,11.47,11.48,11.49,11.47,0.09,0.01,17136,19666995.0,0.17,0.01
2025-09-24 14:05:00,11.49,11.48,11.49,11.47,0.0,0.0,13450,15445969.0,0.17,0.01
2025-09-24 14:10:00,11.48,11.46,11.48,11.46,-0.17,-0.02,14081,16149468.0,0.17,0.01
2025-09-24 14:15:00,11.46,11.46,11.47,11.45,0.0,0.0,14869,17038082.0,0.17,0.01
2025-09-24 14:20:00,11.46,11.47,11.47,11.45,0.09,0.01,16790,19241603.0,0.17,0.01
2025-09-24 14:25:00,11.47,11.46,11.47,11.45,-0.09,-0.01,13070,14977186.0,0.17,0.01
2025-09-24 14:30:00,11.46,11.45,11.46,11.45,-0.09,-0.01,10993,12593471.0,0.09,0.01
2025-09-24 14:35:00,11.46,11.46,11.46,11.45,0.09,0.01,15132,17334526.0,0.09,0.01
2025-09-24 14:40:00,11.46,11.45,11.47,11.44,-0.09,-0.01,32270,36953257.0,0.26,0.02
2025-09-24 14:45:00,11.45,11.44,11.45,11.43,-0.09,-0.01,51029,58372586.0,0.17,0.03
2025-09-24 14:50:00,11.44,11.45,11.47,11.43,0.09,0.01,62267,71282526.0,0.35,0.03
2025-09-24 14:55:00,11.46,11.45,11.47,11.45,0.0,0.0,34698,39754604.0,0.17,0.02
2025-09-24 15:00:00,11.46,11.46,11.47,11.45,0.09,0.01,20259,23213175.0,0.17,0.01
2025-09-25 09:35:00,11.43,11.39,11.45,11.36,-0.61,-0.07,116113,132356929.0,0.79,0.06
2025-09-25 09:40:00,11.38,11.38,11.39,11.36,-0.09,-0.01,69426,78958405.0,0.26,0.04
2025-09-25 09:45:00,11.39,11.4,11.42,11.37,0.18,0.02,34639,39446445.0,0.44,0.02
2025-09-25 09:50:00,11.39,11.44,11.44,11.39,0.35,0.04,32360,36959927.0,0.44,0.02
2025-09-25 09:55:00,11.44,11.42,11.47,11.42,-0.17,-0.02,26750,30619450.0,0.44,0.01
2025-09-25 10:00:00,11.42,11.42,11.44,11.42,0.0,0.0,16057,18348811.0,0.18,0.01
2025-09-25 10:05:00,11.42,11.4,11.43,11.4,-0.18,-0.02,13449,15348064.0,0.26,0.01
2025-09-25 10:10:00,11.4,11.39,11.41,11.39,-0.09,-0.01,14638,16686994.0,0.18,0.01
2025-09-25 10:15:00,11.39,11.39,11.41,11.39,0.0,0.0,11756,13400856.0,0.18,0.01
2025-09-25 10:20:00,11.4,11.41,11.41,11.39,0.18,0.02,13634,15532219.0,0.18,0.01
2025-09-25 10:25:00,11.4,11.39,11.4,11.38,-0.18,-0.02,15236,17350417.0,0.18,0.01
2025-09-25 10:30:00,11.38,11.39,11.4,11.38,0.0,0.0,14975,17052410.0,0.18,0.01
2025-09-25 10:35:00,11.39,11.41,11.41,11.39,0.18,0.02,10676,12165373.0,0.18,0.01
2025-09-25 10:40:00,11.4,11.41,11.43,11.4,0.0,0.0,17188,19615524.0,0.26,0.01
2025-09-25 10:45:00,11.41,11.4,11.41,11.4,-0.09,-0.01,2976,3394294.0,0.09,0.0
2025-09-25 10:50:00,11.4,11.4,11.41,11.39,0.0,0.0,8671,9885017.0,0.18,0.0
2025-09-25 10:55:00,11.4,11.39,11.41,11.39,-0.09,-0.01,7311,8332820.0,0.18,0.0
2025-09-25 11:00:00,11.4,11.4,11.41,11.39,0.09,0.01,5788,6597335.0,0.18,0.0
2025-09-25 11:05:00,11.4,11.41,11.42,11.39,0.09,0.01,19511,22252203.0,0.26,0.01
2025-09-25 11:10:00,11.4,11.4,11.41,11.4,-0.09,-0.01,6479,7387549.0,0.09,0.0
2025-09-25 11:15:00,11.4,11.41,11.43,11.4,0.09,0.01,9284,10595660.0,0.26,0.0
2025-09-25 11:20:00,11.41,11.4,11.42,11.4,-0.09,-0.01,16611,18940473.0,0.18,0.01
2025-09-25 11:25:00,11.4,11.4,11.41,11.4,0.0,0.0,2830,3227352.0,0.09,0.0
2025-09-25 11:30:00,11.41,11.4,11.41,11.4,0.0,0.0,7507,8559994.0,0.09,0.0
2025-09-25 13:05:00,11.4,11.4,11.41,11.39,0.0,0.0,19099,21769071.0,0.18,0.01
2025-09-25 13:10:00,11.4,11.39,11.41,11.39,-0.09,-0.01,10982,12514718.0,0.18,0.01
2025-09-25 13:15:00,11.39,11.39,11.4,11.39,0.0,0.0,7562,8616125.0,0.09,0.0
2025-09-25 13:20:00,11.39,11.4,11.4,11.39,0.09,0.01,5431,6187741.0,0.09,0.0
2025-09-25 13:25:00,11.4,11.39,11.4,11.38,-0.09,-0.01,15313,17441905.0,0.18,0.01
2025-09-25 13:30:00,11.39,11.41,11.41,11.39,0.18,0.02,14665,16720713.0,0.18,0.01
2025-09-25 13:35:00,11.41,11.4,11.41,11.39,-0.09,-0.01,7646,8714698.0,0.18,0.0
2025-09-25 13:40:00,11.39,11.4,11.41,11.39,0.0,0.0,7511,8563173.0,0.18,0.0
2025-09-25 13:45:00,11.4,11.42,11.42,11.4,0.18,0.02,9755,11128286.0,0.18,0.01
2025-09-25 13:50:00,11.41,11.41,11.42,11.4,-0.09,-0.01,8633,9852346.0,0.18,0.0
2025-09-25 13:55:00,11.41,11.4,11.42,11.4,-0.09,-0.01,8076,9219891.0,0.18,0.0
2025-09-25 14:00:00,11.4,11.42,11.42,11.4,0.18,0.02,19155,21860900.0,0.18,0.01
2025-09-25 14:05:00,11.42,11.43,11.44,11.41,0.09,0.01,11319,12931696.0,0.26,0.01
2025-09-25 14:10:00,11.43,11.44,11.44,11.42,0.09,0.01,7907,9038110.0,0.17,0.0
2025-09-25 14:15:00,11.44,11.42,11.44,11.42,-0.17,-0.02,5782,6610244.0,0.17,0.0
2025-09-25 14:20:00,11.43,11.44,11.44,11.42,0.18,0.02,8331,9526237.0,0.18,0.0
2025-09-25 14:25:00,11.43,11.43,11.44,11.42,-0.09,-0.01,5570,6366537.0,0.17,0.0
2025-09-25 14:30:00,11.44,11.43,11.44,11.42,0.0,0.0,8818,10080570.0,0.17,0.0
2025-09-25 14:35:00,11.43,11.43,11.44,11.42,0.0,0.0,15854,18119447.0,0.17,0.01
2025-09-25 14:40:00,11.43,11.43,11.43,11.42,0.0,0.0,8710,9951083.0,0.09,0.0
2025-09-25 14:45:00,11.43,11.43,11.44,11.41,0.0,0.0,18542,21187609.0,0.26,0.01
2025-09-25 14:50:00,11.44,11.44,11.44,11.43,0.09,0.01,11120,12716321.0,0.09,0.01
2025-09-25 14:55:00,11.44,11.42,11.44,11.42,-0.17,-0.02,13001,14858809.0,0.17,0.01
2025-09-25 15:00:00,11.42,11.4,11.44,11.4,-0.18,-0.02,30630,34952382.0,0.35,0.02
2025-09-26 09:35:00,11.39,11.35,11.42,11.34,-0.44,-0.05,66645,75797208.0,0.7,0.03
2025-09-26 09:40:00,11.34,11.33,11.35,11.32,-0.18,-0.02,76092,86237776.0,0.26,0.04
2025-09-26 09:45:00,11.34,11.34,11.35,11.33,0.09,0.01,29974,33996702.0,0.18,0.02
2025-09-26 09:50:00,11.35,11.35,11.37,11.34,0.09,0.01,20095,22823235.0,0.26,0.01
2025-09-26 09:55:00,11.35,11.38,11.38,11.35,0.26,0.03,19436,22087424.0,0.26,0.01
2025-09-26 10:00:00,11.37,11.36,11.38,11.35,-0.18,-0.02,18170,20646583.0,0.26,0.01
2025-09-26 10:05:00,11.35,11.36,11.37,11.35,0.0,0.0,12078,13716673.0,0.18,0.01
2025-09-26 10:10:00,11.36,11.36,11.37,11.35,0.0,0.0,11590,13161042.0,0.18,0.01
2025-09-26 10:15:00,11.36,11.35,11.37,11.35,-0.09,-0.01,10981,12474507.0,0.18,0.01
2025-09-26 10:20:00,11.36,11.34,11.36,11.34,-0.09,-0.01,15837,17978766.0,0.18,0.01
2025-09-26 10:25:00,11.34,11.35,11.36,11.34,0.09,0.01,13725,15574285.0,0.18,0.01
2025-09-26 10:30:00,11.34,11.34,11.36,11.33,-0.09,-0.01,31075,35243967.0,0.26,0.02
2025-09-26 10:35:00,11.35,11.35,11.36,11.34,0.09,0.01,9473,10750771.0,0.18,0.0
2025-09-26 10:40:00,11.35,11.36,11.36,11.34,0.09,0.01,11174,12681317.0,0.18,0.01
2025-09-26 10:45:00,11.35,11.34,11.36,11.34,-0.18,-0.02,13960,15846454.0,0.18,0.01
2025-09-26 10:50:00,11.35,11.36,11.36,11.34,0.18,0.02,11366,12904832.0,0.18,0.01
2025-09-26 10:55:00,11.36,11.35,11.36,11.34,-0.09,-0.01,11674,13252792.0,0.18,0.01
2025-09-26 11:00:00,11.36,11.36,11.37,11.35,0.09,0.01,11382,12927434.0,0.18,0.01
2025-09-26 11:05:00,11.36,11.37,11.37,11.35,0.09,0.01,5859,6655893.0,0.18,0.0
2025-09-26 11:10:00,11.36,11.35,11.37,11.35,-0.18,-0.02,5731,6510945.0,0.18,0.0
2025-09-26 11:15:00,11.35,11.35,11.36,11.35,0.0,0.0,4476,5081692.0,0.09,0.0
2025-09-26 11:20:00,11.35,11.35,11.36,11.35,0.0,0.0,4258,4833843.0,0.09,0.0
2025-09-26 11:25:00,11.35,11.36,11.36,11.35,0.09,0.01,4926,5592663.0,0.09,0.0
2025-09-26 11:30:00,11.36,11.36,11.36,11.35,0.0,0.0,6933,7872592.0,0.09,0.0
2025-09-26 13:05:00,11.36,11.37,11.37,11.36,0.09,0.01,21582,24531107.0,0.09,0.01
2025-09-26 13:10:00,11.37,11.36,11.37,11.35,-0.09,-0.01,9959,11314885.0,0.18,0.01
2025-09-26 13:15:00,11.36,11.37,11.37,11.35,0.09,0.01,14192,16126132.0,0.18,0.01
2025-09-26 13:20:00,11.37,11.37,11.38,11.37,0.0,0.0,13009,14803194.0,0.09,0.01
2025-09-26 13:25:00,11.38,11.39,11.4,11.38,0.18,0.02,23603,26895332.0,0.18,0.01
2025-09-26 13:30:00,11.39,11.39,11.4,11.38,0.0,0.0,10328,11765100.0,0.18,0.01
2025-09-26 13:35:00,11.4,11.4,11.41,11.39,0.09,0.01,9958,11353344.0,0.18,0.01
2025-09-26 13:40:00,11.41,11.41,11.42,11.4,0.09,0.01,16829,19203869.0,0.18,0.01
2025-09-26 13:45:00,11.41,11.42,11.43,11.4,0.09,0.01,15445,17632014.0,0.26,0.01
2025-09-26 13:50:00,11.42,11.42,11.44,11.41,0.0,0.0,30509,34874134.0,0.26,0.02
2025-09-26 13:55:00,11.42,11.42,11.43,11.41,0.0,0.0,10662,12177191.0,0.18,0.01
2025-09-26 14:00:00,11.42,11.41,11.43,11.41,-0.09,-0.01,9586,10949641.0,0.18,0.0
2025-09-26 14:05:00,11.42,11.42,11.43,11.41,0.09,0.01,10721,12243250.0,0.18,0.01
2025-09-26 14:10:00,11.42,11.43,11.43,11.42,0.09,0.01,7268,8304163.0,0.09,0.0
2025-09-26 14:15:00,11.43,11.42,11.43,11.41,-0.09,-0.01,9351,10683146.0,0.17,0.0
2025-09-26 14:20:00,11.42,11.43,11.44,11.41,0.09,0.01,19408,22178061.0,0.26,0.01
2025-09-26 14:25:00,11.43,11.43,11.44,11.42,0.0,0.0,9642,11021662.0,0.17,0.0
2025-09-26 14:30:00,11.44,11.42,11.44,11.42,-0.09,-0.01,13470,15395097.0,0.17,0.01
2025-09-26 14:35:00,11.42,11.43,11.43,11.41,0.09,0.01,15557,17767686.0,0.18,0.01
2025-09-26 14:40:00,11.43,11.41,11.43,11.41,-0.17,-0.02,7317,8353601.0,0.17,0.0
2025-09-26 14:45:00,11.41,11.41,11.42,11.4,0.0,0.0,8424,9612470.0,0.18,0.0
2025-09-26 14:50:00,11.42,11.42,11.42,11.41,0.09,0.01,12197,13925233.0,0.09,0.01
2025-09-26 14:55:00,11.42,11.41,11.42,11.41,-0.09,-0.01,11282,12876974.0,0.09,0.01
2025-09-26 15:00:00,11.42,11.4,11.42,11.4,-0.09,-0.01,16030,18280988.0,0.18,0.01
2025-09-29 09:35:00,11.4,11.33,11.4,11.32,-0.61,-0.07,81481,92448545.0,0.7,0.04
2025-09-29 09:40:00,11.33,11.32,11.33,11.31,-0.09,-0.01,56048,63439568.0,0.18,0.03
2025-09-29 09:45:00,11.32,11.34,11.34,11.32,0.18,0.02,27712,31383031.0,0.18,0.01
2025-09-29 09:50:00,11.34,11.32,11.34,11.31,-0.18,-0.02,24800,28087060.0,0.26,0.01
2025-09-29 09:55:00,11.32,11.33,11.34,11.32,0.09,0.01,20172,22845526.0,0.18,0.01
2025-09-29 10:00:00,11.32,11.33,11.34,11.32,0.0,0.0,12594,14269204.0,0.18,0.01
2025-09-29 10:05:00,11.32,11.32,11.33,11.31,-0.09,-0.01,20463,23165936.0,0.18,0.01
2025-09-29 10:10:00,11.32,11.31,11.32,11.3,-0.09,-0.01,35303,39928732.0,0.18,0.02
2025-09-29 10:15:00,11.31,11.3,11.31,11.28,-0.09,-0.01,52722,59562922.0,0.27,0.03
2025-09-29 10:20:00,11.29,11.29,11.3,11.28,-0.09,-0.01,33042,37295146.0,0.18,0.02
2025-09-29 10:25:00,11.29,11.29,11.29,11.27,0.0,0.0,33077,37310279.0,0.18,0.02
2025-09-29 10:30:00,11.28,11.28,11.29,11.27,-0.09,-0.01,27496,31018280.0,0.18,0.01
2025-09-29 10:35:00,11.29,11.27,11.29,11.27,-0.09,-0.01,22479,25349944.0,0.18,0.01
2025-09-29 10:40:00,11.28,11.27,11.28,11.27,0.0,0.0,15453,17426707.0,0.09,0.01
2025-09-29 10:45:00,11.28,11.28,11.28,11.27,0.09,0.01,13777,15536217.0,0.09,0.01
2025-09-29 10:50:00,11.28,11.29,11.29,11.27,0.09,0.01,14675,16560966.0,0.18,0.01
2025-09-29 10:55:00,11.29,11.3,11.3,11.28,0.09,0.01,12898,14560211.0,0.18,0.01
2025-09-29 11:00:00,11.29,11.29,11.3,11.28,-0.09,-0.01,9825,11090429.0,0.18,0.01
2025-09-29 11:05:00,11.29,11.29,11.29,11.28,0.0,0.0,11393,12857363.0,0.09,0.01
2025-09-29 11:10:00,11.29,11.28,11.29,11.28,-0.09,-0.01,9161,10335410.0,0.09,0.0
2025-09-29 11:15:00,11.28,11.29,11.3,11.28,0.09,0.01,12786,14436872.0,0.18,0.01
2025-09-29 11:20:00,11.29,11.3,11.31,11.29,0.09,0.01,12877,14544090.0,0.18,0.01
2025-09-29 11:25:00,11.3,11.32,11.32,11.3,0.18,0.02,8244,9322269.0,0.18,0.0
2025-09-29 11:30:00,11.31,11.3,11.32,11.3,-0.18,-0.02,15444,17466216.0,0.18,0.01
2025-09-29 13:05:00,11.3,11.3,11.31,11.29,0.0,0.0,19498,22032345.0,0.18,0.01
2025-09-29 13:10:00,11.29,11.29,11.31,11.28,-0.09,-0.01,13893,15694066.0,0.27,0.01
2025-09-29 13:15:00,11.3,11.3,11.3,11.29,0.09,0.01,11072,12506387.0,0.09,0.01
2025-09-29 13:20:00,11.3,11.31,11.31,11.29,0.09,0.01,9862,11143142.0,0.18,0.01
2025-09-29 13:25:00,11.3,11.32,11.32,11.3,0.09,0.01,12648,14298027.0,0.18,0.01
2025-09-29 13:30:00,11.31,11.31,11.32,11.3,-0.09,-0.01,14411,16300594.0,0.18,0.01
2025-09-29 13:35:00,11.31,11.33,11.34,11.31,0.18,0.02,24911,28212662.0,0.27,0.01
2025-09-29 13:40:00,11.33,11.34,11.35,11.32,0.09,0.01,26754,30332193.0,0.26,0.01
2025-09-29 13:45:00,11.34,11.38,11.39,11.34,0.35,0.04,53914,61285945.0,0.44,0.03
2025-09-29 13:50:00,11.37,11.41,11.42,11.37,0.26,0.03,51530,58738762.0,0.44,0.03
2025-09-29 13:55:00,11.41,11.43,11.44,11.4,0.18,0.02,48218,55061561.0,0.35,0.02
2025-09-29 14:00:00,11.45,11.46,11.46,11.43,0.26,0.03,45016,51531085.0,0.26,0.02
2025-09-29 14:05:00,11.47,11.47,11.48,11.45,0.09,0.01,43814,50238013.0,0.26,0.02
2025-09-29 14:10:00,11.47,11.44,11.47,11.43,-0.26,-0.03,26026,29805681.0,0.35,0.01
2025-09-29 14:15:00,11.44,11.41,11.44,11.4,-0.26,-0.03,24979,28517945.0,0.35,0.01
2025-09-29 14:20:00,11.4,11.4,11.42,11.4,-0.09,-0.01,13098,14941269.0,0.18,0.01
2025-09-29 14:25:00,11.41,11.4,11.41,11.39,0.0,0.0,11797,13449530.0,0.18,0.01
2025-09-29 14:30:00,11.39,11.4,11.4,11.38,0.0,0.0,14122,16083607.0,0.18,0.01
2025-09-29 14:35:00,11.39,11.39,11.4,11.38,-0.09,-0.01,15378,17516072.0,0.18,0.01
2025-09-29 14:40:00,11.39,11.37,11.4,11.37,-0.18,-0.02,16054,18276598.0,0.26,0.01
2025-09-29 14:45:00,11.37,11.38,11.39,11.37,0.09,0.01,14209,16172972.0,0.18,0.01
2025-09-29 14:50:00,11.38,11.38,11.39,11.38,0.0,0.0,14198,16163954.0,0.09,0.01
2025-09-29 14:55:00,11.38,11.4,11.4,11.38,0.18,0.02,28053,31945977.0,0.18,0.01
2025-09-29 15:00:00,11.4,11.37,11.41,11.37,-0.26,-0.03,38636,43967648.0,0.35,0.02
2025-09-30 09:35:00,11.37,11.34,11.37,11.33,-0.26,-0.03,70132,79597127.0,0.35,0.04
2025-09-30 09:40:00,11.33,11.33,11.35,11.32,-0.09,-0.01,41279,46774945.0,0.26,0.02
2025-09-30 09:45:00,11.33,11.31,11.33,11.3,-0.18,-0.02,55142,62379934.0,0.26,0.03
2025-09-30 09:50:00,11.32,11.31,11.32,11.3,0.0,0.0,43367,49044244.0,0.18,0.02
2025-09-30 09:55:00,11.31,11.31,11.32,11.3,0.0,0.0,32553,36807873.0,0.18,0.02
2025-09-30 10:00:00,11.31,11.31,11.32,11.31,0.0,0.0,19827,22429279.0,0.09,0.01
2025-09-30 10:05:00,11.31,11.31,11.32,11.3,0.0,0.0,17661,19976465.0,0.18,0.01
2025-09-30 10:10:00,11.32,11.32,11.32,11.3,0.09,0.01,30065,33994990.0,0.18,0.02
2025-09-30 10:15:00,11.32,11.31,11.32,11.3,-0.09,-0.01,19645,22218554.0,0.18,0.01
2025-09-30 10:20:00,11.31,11.31,11.32,11.3,0.0,0.0,17744,20068620.0,0.18,0.01
